date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:10:12	5591/5591	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cc5b61a-15d7%22	http://baha.malyarchuk.space/js/tilt.js	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/js/tilt.js	(from http://baha.malyarchuk.space/index-line.html)
04:10:12	7541/7541	---MCZ	200	added ('OK')	application/javascript	etag:W/%225d9ef623-1d75%22	http://baha.malyarchuk.space/js/main.js	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/js/main.js	(from http://baha.malyarchuk.space/index-line.html)
04:10:12	1034/1034	---M--	200	added ('OK')	application/javascript	etag:%225d9a11c8-40a%22	http://baha.malyarchuk.space/js/main-demo.js	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/js/main-demo.js	(from http://baha.malyarchuk.space/index-line.html)
04:10:24	72148/72148	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-119d4%22	http://baha.malyarchuk.space/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:27	84568/84568	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-14a58%22	http://baha.malyarchuk.space/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:29	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-1e988%22	http://baha.malyarchuk.space/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:37	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-1e988%22	http://baha.malyarchuk.space/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400d41d.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:39	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c5473b4-8654%22	http://baha.malyarchuk.space/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400.eot	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:40	660056/660056	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225c5473b4-a1258%22	http://baha.malyarchuk.space/fonts/fa-brands-400.svg	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-brands-400.svg	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:41	13608/13608	---M--	200	added ('OK')	font/woff2	etag:%225c5473b4-3528%22	http://baha.malyarchuk.space/fonts/fa-regular-400.woff2	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400.woff2	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
04:10:43	16812/16812	---M--	200	added ('OK')	font/woff	etag:%225c5473b4-41ac%22	http://baha.malyarchuk.space/fonts/fa-regular-400.woff	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/fonts/fa-regular-400.woff	(from http://baha.malyarchuk.space/css/plugins/font-awesome.css)
